region,annotation,x,y,cell_name,SampleSize,KCNQ3_GSS
SL/R CA1,Astr,2433.53053239694,10986.6271961823,Cell_10114,1002081,0.0
SL/R CA1,Astr,2764.73571193621,11135.224400215,Cell_10115,1002081,0.0
SL/R CA1,Astr,3378.32206703323,11430.9299714151,Cell_10116,1002081,0.0
SL/R CA1,Astr,4936.25488790951,12131.1287472184,Cell_10117,1002081,0.0
CAA,Unknown,4022.93612383821,9471.25302922045,Cell_1012,1002081,0.0
DG,Astr,2060.51292837263,10818.8539352377,Cell_10120,1002081,0.0
SL/R CA1,Mic,2660.84719396048,11093.0796990913,Cell_10121,1002081,0.0
SL/R CA1,Olig,2677.16782737628,11112.6663507936,Cell_10122,1002081,0.0
SL/R CA1,Astr,3157.63458823021,11322.0169937698,Cell_10123,1002081,0.0
CA1,Glu Neu,5939.14500638018,12599.876451505,Cell_10124,1002081,1.779296875
Cortex,Glu Neu,6622.34560347808,12916.5070629832,Cell_10125,1002081,2.154296875
Cortex,End,6712.9412818663,12949.254934019,Cell_10126,1002081,0.0
Cortex,Glu Neu,7435.71950114747,13285.1368265538,Cell_10127,1002081,1.7626953125
Ependymal,Epe,2251.54618409398,10910.8664083514,Cell_10129,1002081,0.0
CAA,Mic,4579.07271434961,9721.90835570357,Cell_1013,1002081,0.0
DG,GABA Neu,2294.2675743287,10930.4593360656,Cell_10130,1002081,0.0
DG,Glu Neu,2773.442972697,11154.6198535494,Cell_10131,1002081,0.0
SL/R CA1,Astr,3567.80381376803,11516.7301325707,Cell_10132,1002081,0.0
SL/R CA1,Astr,4391.85962799907,11883.6579388651,Cell_10133,1002081,0.0
CA1,Glu Neu,5047.52483009393,12193.1609966237,Cell_10134,1002081,0.0
CA1,Glu Neu,5391.53075427347,12349.8291941923,Cell_10135,1002081,0.0
CA1,Astr,5423.91187460415,12367.9803111312,Cell_10136,1002081,0.0
CA1,Glu Neu,5870.89735100974,12566.376339021,Cell_10137,1002081,1.845703125
Cortex,Glu Neu,6404.34427184574,12820.9276750037,Cell_10138,1002081,1.892578125
Cortex,Ery,6934.34652805101,13066.1981551217,Cell_10139,1002081,0.0
CAA,Glu Neu,4595.43409784376,9729.4120301473,Cell_1014,1002081,1.7998046875
DG,Glu Neu,2569.34254982258,11059.9149572531,Cell_10140,1002081,0.0
CA1,Glu Neu,5284.97332616029,12301.5097931829,Cell_10141,1002081,0.0
CA1,Glu Neu,5958.80060621541,12612.1913772099,Cell_10142,1002081,0.0
Cortex,Glu Neu,6367.41832276668,12800.6922040527,Cell_10143,1002081,2.0390625
DG,Glu Neu,2394.93082409629,10996.4283450488,Cell_10144,1002081,0.0
SL/R CA1,Mic,3472.85450499942,11474.2845348678,Cell_10145,1002081,0.0
CA1,Glu Neu,5992.84920975581,12626.7066311501,Cell_10146,1002081,1.849609375
Cortex,GABA Neu,6316.09936998246,12778.2564048663,Cell_10147,1002081,0.0
Cortex,Glu Neu,7102.2042951616,13134.380044364,Cell_10148,1002081,2.078125
Ependymal,Epe,1648.48502125711,10635.3900320905,Cell_10149,1002081,0.0
CAA,Glu Neu,4733.18002099191,9793.68535786621,Cell_1015,1002081,1.9853515625
DG,GABA Neu,2495.71632409891,11026.1484222563,Cell_10150,1002081,0.0
DG,Glu Neu,2537.9832314588,11045.5329145693,Cell_10151,1002081,0.0
SL/R CA1,Astr,2625.69842630242,11085.7609470037,Cell_10152,1002081,1.8037109375
SL/R CA1,Astr,4916.70898628556,12135.3664033757,Cell_10153,1002081,0.0
CA1,Astr,5968.15041021308,12637.3822716998,Cell_10154,1002081,0.0
Cortex,Glu Neu,6238.91250540491,12745.0571889616,Cell_10155,1002081,1.7265625
Cortex,Glu Neu,7160.67899972006,13169.9989849266,Cell_10156,1002081,2.08203125
DG,Glu Neu,2016.69137402025,10806.4575093762,Cell_10159,1002081,0.0
CAA,Glu Neu,4817.29696490924,9833.3633082418,Cell_1016,1002081,1.8671875
DG,GABA Neu,2136.10753388527,10857.9238164429,Cell_10160,1002081,0.0
DG,Glu Neu,2518.93256278803,11037.8960288692,Cell_10161,1002081,0.0
SL/R CA1,Astr,3175.90636440176,11339.7481019003,Cell_10162,1002081,0.0
SL/R CA1,Astr,4396.93102576116,11901.3859089897,Cell_10163,1002081,0.0
CA1,Glu Neu,5236.81537846076,12286.5745304343,Cell_10164,1002081,0.0
CA1,Glu Neu,5455.04238252754,12388.8583253191,Cell_10165,1002081,0.0
CA1,SM,5634.60073016074,12472.3077099498,Cell_10166,1002081,0.0
CA1,Glu Neu,5802.26729890335,12548.1029718471,Cell_10167,1002081,1.841796875
Cortex,Astr,6487.09776713856,12859.9803191757,Cell_10168,1002081,0.0
DG,Glu Neu,1950.07045178119,10781.4045111521,Cell_10171,1002081,0.0
DG,GABA Neu,2194.4317901541,10889.073152402,Cell_10172,1002081,1.8291015625
DG,Glu Neu,2320.01951189887,10951.0709277407,Cell_10173,1002081,0.0
SL/R CA1,Mic,2818.20796686552,11181.7509297737,Cell_10174,1002081,0.0
SL/R CA1,End,4346.4458145818,11877.132178304,Cell_10175,1002081,0.0
CA1,Glu Neu,5192.42650501632,12270.6174657188,Cell_10176,1002081,0.0
